code,product_name,countries,ingredients_text,sugars_100g,nutrition_grade_fr,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,energy_100g,brands,additives_n,nutrition-score-fr_100g,carbohydrates_100g,pnns_groups_combined
0000000036252,lion peanut x2,"france, us","milk chocolate coating (evaporated cane juice, cocoa butter, unsweetened chocolate, whole milk powder, soy lecithin, natural vanilla), dried cranberries (cranberries, sugar, sunflower oil), pure food glaze",38.1,E,20.0,11.100000000000001,0.09652,2.5,2.5,1883.0,sunridge,1.0,16.0,70.0,snacks sucrés
00011747,triple belgian chocolaté chunk cookies,"uk,france",unknown,34.4,E,27.280193098331473,11.100000000000001,0.85,2.9,5.6,2184.0,marks & spencer,0.0,16.0,57.46464558469704,snacks sucrés
00025751,honey roast ham,"royaume-uni,france","porc d’origine britannique (élaboré avec 120 g de porc cru pour 100 g de jambon rôti au miel); sucre; miel (2%); sels de salaison (sel, conservateur: nitrite de sodium); sirop de sucre caramélisé.  ",2.9000000000000004,C,2.0,0.7000000000000002,2.0,0.1,18.380000000000003,564.0,"marks & spencer,m&s",1.0,8.0,4.300000000000001,snacks sucrés
00048569,barbecue sauce,"france, us",unknown,32.7,D,7.5,0.7999999999999998,1.28,1.8,1.1,665.0,"mark and spencer, trader joe's",0.0,11.0,67.5,graisses et sauces
00080910,poulet tikka masala et riz pilaf,"uk,france",unknown,0.5999999999999996,A,6.1730911646774995,1.6,0.63,2.7,8.9,619.0,marks & spencer,0.0,12.0,13.85763598622372,poissons viandes et œufs
00099134,belgian milk chocolate rice cakes,"france,united kingdom",unknown,26.4,E,27.4353072795087,11.100000000000001,0.13,2.1,7.9,2013.0,m&s,0.0,16.0,45.10367254574444,snacks sucrés
00099165,cracked black pepper & salted popped potato chips,"uk,france",unknown,0.9000000000000004,D,30.896108726557216,11.100000000000001,1.65,4.7,6.9,1791.0,marks & spencer,0.0,16.0,13.590982669684703,snacks salés
00109543,"salade de riz, haricots noirs et feta","france,united kingdom",unknown,0.1999999999999993,B,9.466435215272522,3.2,0.73,5.7,5.4,711.0,m&s,0.0,8.0,10.778539446921744,céréales et pommes de terre
0011210008328,sriracha thai chili sauce,"france, us",unknown,38.1,E,0.0,0.0,2.7675,0.0,0.0,418.0,tabasco,0.0,16.0,40.0,graisses et sauces
0016000264793,crunchy peanut butter granola bars,"united states, en:france","whole grain oats, sugar, canola oil, _peanut_ butter (_peanuts_), salt), yellow corn flour, brown sugar syrup, _soy_ flour, salt, _soy_ lecithin, baking soda.",26.2,D,16.7,2.38,1.09,4.76,11.9,1890.0,nature valley,1.0,11.0,66.7,boissons
0016229004019,extrait de noix de coco,"france,united states","extrait de noix de coco (70%), eau, émulsifiant : e435",0.0,D,22.5,11.100000000000001,0.039878,0.0,2.06,916.0,savoy,1.0,12.0,2.849999999999998,boissons
0016229005474,préparation à base de lait de coco,"france, us","eau, extrait de noix de coco 24%, émulsifiant (e435).",3.33,C,10.0,8.33,0.08382,0.0,0.0,418.0,thai agri foods co.  ltd.,1.0,9.0,3.3299999999999983,lait et produits laitiers
0016229902933,unknown product,"france, us","jus de jeune noix de coco (80%), eau, pulpe de noix de coco, sucre, acide citrique (e330).",8.75,B,0.41999999999999993,0.0,0.11684,0.0,0.42,176.0,"foco, thai agri foods co.  ltd.",1.0,8.0,9.579999999999998,snacks sucrés
00191128,rich tea biscuits reduced fat,"france,united kingdom","farine, sucre, beurre",20.4,D,15.055083432747756,3.3,0.7,3.2,8.1,1778.0,m&s,0.0,11.0,57.19242960778629,biscuits and cakes
00195157,4 stonebread garlic breads,"france,royaume-uni","farine de _blé_, eau, _beurre_ d'ail 13%, huile d'olive vierge extra, levure, sel, farine de pomme de terre, _lait_ écrémé en poudre, sucre, fibre végétale, orge maltée, agent de traitement de la farine : acide ascorbique, _beurre_ d'ail et _beurre_ non salé, purée d'ail, poivre blanc moulu, jus de citron, persil, sel",2.3000000000000007,D,11.9,6.6,2.54,3.1,9.3,1330.0,marks & spencer,1.0,15.0,41.4,snacks sucrés
00286503,chocolate fudge cake,"uk,france",unknown,32.9,E,19.32775649104561,8.2,0.6,1.5,5.4,1749.0,marks & spencer,0.0,16.0,54.219218054325665,snacks sucrés
00315739,sandwich jambon fromage sans gluten,"france,uk",unknown,0.40000000000000036,C,15.645029691373002,5.2,1.25,3.1,11.9,1067.0,marks and spencer,0.0,9.0,13.53019788780728,lait et produits laitiers
